acceptor,n_smiles,donor,p_smiles,pce
T2EH,O=C(C1=CC(F)=C(C=C1C/2=C(C#N)\C#N)F)C2=C/C3=C(C4=CC(CC(CC)CCCC)=CS4)C(SC(C5=C6C7=C(C8=C(N7CC(CC)CCCC)C9=C(C(C%10=CC(CC(CCCC)CC)=CS%10)=C(S9)/C=C%11C(C%12=CC(F)=C(C=C%12C\%11=C(C#N)\C#N)F)=O)S8)C%13=NSN=C5%13)=C%14N6CC(CC)CCCC)=C%14S3,PTQ10,CC(C1=NC(OCC(CCCCCC)CCCCCCCC)=CN=C1C(C2=CC=C(C)S2)=C3F)=C3F,18.55
BTP-H2,O=C(C1=CC=CC(Br)=C1C/2=C(C#N)\C#N)C2=C/C(SC3=C4SC(C5=C6C7=C(C8=C(N7CC(CC)CCCC)C9=C(C(CC(CCCCCC)CCCC)=C(S9)/C=C%10C(C%11=CC=CC(Br)=C%11C\%10=C(C#N)\C#N)=O)S8)C%12=NSN=C5%12)=C3N6CC(CC)CCCC)=C4CC(CCCC)CCCCCC,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,18.5
L8-BO,CCCCCCC(CCCC)Cc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,18.5
BTP-4F-P2EH,CCCCC(CC)Cc1cccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cccc(CC(CC)CCCC)c8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,PBDB-T-2F,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,18.22
BTP-4F-C5-16,CCCCCCCCC(CCCCCC)Cn1c2c3sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC(CCCCCC)CCCCCCCC)c3c21,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,18.2
Qx-2,CCCCCCCCCCCc1c(/C=C2C(c3cc(F)c(F)cc3C\2=C(C#N)\C#N)=O)sc4c1sc5c4n(CC(CCCC)CCCCCC)c6c5C7=C(c8c9sc%10c(CCCCCCCCCCC)c(/C=C%11C(c%12cc(F)c(F)cc%12C\%11=C(C#N)\C#N)=O)sc%10c9n(CC(CCCC)CCCCCC)c86)N=C(C%13=N7)C%14=C(C%15=C%13C=CC=C%15)C=CC=C%14,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,18.2
Qx-1,O=C1c2c(C(/C1=C/C3C(CCCCCCCCCCC)C4C(C5N(C(C6C5S4)C7N(CC(CCCCCC)CCCC)C8C9SC(/C=C%10/C(c%11c(C%10=O)cc(F)c(F)c%11)=C(C#N)/C#N)C(C9SC8C7C%12=C6N=C(C(C%13=CC=CC=C%13)=N%12)C%14=CC=CC=C%14)CCCCCCCCCCC)CC(CCCCCC)CCCC)S3)=C(C#N)\C#N)cc(F)c(F)c2,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.9
CH17,FC1=CC(N=C(C(C(SC2=C3SC(/C=C4/C(C(C=C(C=C(F)C(F)=C5)C5=C6)=C6C4=O)=C(C#N)\C#N)=C2CCCCCCCCCCC)=C3N7CC(CCCCCC)CCCCCCCC)=C7C8=C9C%10=C(C(SC(/C=C%11C(C(C=C(C=C(F)C(F)=C%12)C%12=C%13)=C%13C\%11=C(C#N)\C#N)=O)=C%14CCCCCCCCCCC)=C%14S%10)N8CC(CCCCCC)CCCCCCCC)C9=N%15)=C%15C=C1F,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.84
BTP-4F-C6-16,CCCCCCCCC(Cn(c1c2sc3c1sc(/C=C4C(c5c(C\4=C(C#N)/C#N)cc(F)c(F)c5)=O)c3CCCCCC)c6c2c(nsn7)c7c8c6n(CC(CCCCCCCC)CCCCCC)c9c8sc%10c9sc(/C=C%11C(c%12c(C\%11=C(C#N)/C#N)cc(F)c(F)c%12)=O)c%10CCCCCC)CCCCCC,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.82
BTP-eC9,CCCCCCCCCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PBDB-TF,O=C(C1=C(SC(CCCCCCCC)=C12)CCCCCCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CCCCCCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CCCCCCCC)S%10)=C7S6)S5)=C3C2=O,17.8
BTPR,CCCCCCCCCCCc1c2sc(c(c(nsn3)c3c4c5n(CC(CCCC)CC)c6c4sc7c6sc(/C=C8C(N(CC)C(S\8)=S)=O)c7CCCCCCCCCCC)c5n9CC(CCCC)CC)c9c2sc1/C=C%10C(N(CC)C(S\%10)=S)=O,D18,FC1=C(CC(CCCC)CCCC)SC(C2=C3SC(C)=CC3=C(C4=CC(F)=C(CC(CCCC)CC)S4)C5=C2C=C(C6=C(CC(CCCC)CCCCCC)C=C(C7=CC(C8=NSN=C8C9=C%10SC(C%11=CC(CC(CCCCCC)CCCC)=C(C)S%11)=C9)=C%10S7)S6)S5)=C1,17.8
CH1007,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)[se]c2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)[se]c6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c12,PTzBI-dF,FC(C=C1C2=C3C=C(C)SC3=C(C4=CC(F)=C(S4)CC(CC)CCCC)C5=C2SC(C6=C(F)C=C(C7=C8C(C(N(C8=O)CCCCCCCC)=O)=C(C9=NN(N=C79)CCC(CC)CCCC)C%10=CC(F)=C(C)S%10)S6)=C5)=C(S1)CC(CCCC)CC,17.8
Y6,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,D18-B,CC1=CC2=C(S1)C(C3=CC(F)=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC(F)=C(S5)CC(CC)CCCC)C6=C(CCC(CCCCCC)CCCC)C=C(S6)C7=CC8=C(S7)C9=C(C%10=NSN=C%108)C=C(C%11=CC(CCC(CCCC)CCCCCC)=C(S%11)C)S9,17.74
CH-4Cl,CCCCCCCCCCCC1=C(/C=C2C(C3=CC(Cl)=C(Cl)C=C3C\2=C(C#N)/C#N)=O)SC4=C1SC5=C4N(CC(CCCCCCCC)CCCCCC)C(C6=C7C(SC8=C9SC(/C=C%10C(C%11=CC(Cl)=C(Cl)C=C%11C\%10=C(C#N)/C#N)=O)=C8CCCCCCCCCCC)=C9N6CC(CCCCCC)CCCCCCCC)=C5C%12=NC%13=C(N=C7%12)C=C(F)C(F)=C%13,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.72
