n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
C12=C3C4=C5C1=C6C=CC2=CC=C3C=CC4=CC=C5C=C6,0.19,0.19,0.41,0.62,0.75,3.65,250.3,6.3,2.65
CC(C)(C)C1=CC(C2=C3C=CC(C(C)(C)C)=C2)=C(C=C1)N3CCCCCCN4C5=CC=CC=C5SC6=C4C=CC(/C=C(C#N)/C#N)=C6,4.16,4.16,7.28,0.56,0.98,2.18,636.9,5.58,3.4
CCCCC(C1=C2C=C(C3=CC=C(/C=C4S/C(N(CC)C\4=O)=C(C#N)\C#N)C5=NSN=C35)C=C1)(CCCC)C6=C2C(C(CCCC)(CCCC)C7=C8C=C(C9=CC=C(/C=C%10S/C(N(CC)C\%10=O)=C(C#N)\C#N)C%11=NSN=C9%11)C=C7)=C8C(C%12(CCCC)CCCC)=C6C%13=C%12C=CC(C%14=CC=C(/C=C%15S/C(N(CC)C\%15=O)=C(C#N)\C#N)C%16=NSN=C%14%16)=C%13,10.15,9.92,16.75,0.645,0.94,2.22,1691.21,5.95,3.73
CCCCC(CC)CC(C1=C2C=CC=C1)C3=C2C=CC(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)=C3,0.1,0.1,0.99,0.35,0.42,2.3,488.65,5.9,3.6
CCCCC(CC)CC(C1=C2SC(C3=C(CCC(CC)CCCC)C=C(/C=C4/C(C(C=C5F)=C(C4=O)C=C5F)=C(C#N)/C#N)S3)=C1)(C6=C2SC(C7=C(CCC(CC)CCCC)C=C(/C=C8/C(C(C=C9F)=C(C8=O)C=C9F)=C(C#N)/C#N)S7)=C6)CC(CC)CCCC,10.5,10.0,23.4,0.64,0.7,1.4,1299.76,5.4,4.0
CCCCC(CC)CC(C1=C2SC(C3=C(OCC(CC)CCCC)C=C(/C=C4/C(C(C=C5F)=C(C4=O)C=C5F)=C(C#N)/C#N)S3)=C1)(C6=C2SC(C7=C(CCC(CC)CCCC)C=C(/C=C8/C(C(C=C9F)=C(C8=O)C=C9F)=C(C#N)/C#N)S7)=C6)CC(CC)CCCC,10.2,10.0,24.8,0.64,0.64,1.2,1301.73,5.3,4.1
CCCCC(CC)CC(C1=C2SC(C3=C(OCC(CC)CCCC)C=C(/C=C4/C(C(C=C5F)=C(C4=O)C=C5F)=C(C#N)/C#N)S3)=C1)(C6=C2SC(C7=C(OCC(CC)CCCC)C=C(/C=C8/C(C(C=C9F)=C(C8=O)C=C9F)=C(C#N)/C#N)S7)=C6)CC(CC)CCCC,7.3,6.9,20.7,0.61,0.57,1.1,1303.71,5.2,4.1
CCCCC(CC)CN(C1=O)C(C2=CC=CC(C2=C1C=C3)=C3C(S4)=CC=C4C(C5=NSN=C5C(C6=CC=C(C7=CC=C(C(N8CC(CC)CCCC)=O)C9=C7C=CC=C9C8=O)S6)=C%10C(N%11CC(CC)CCCC)=O)=C%10C%11=O)=O,2.11,2.1,6.14,0.442,0.77,1.97,1096.43,5.62,3.65
CCCCC(CC)CN1C2=C(SC=C2)C3=C1C=C(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)S3,0.4,0.4,2.3,0.36,0.48,2.1,501.69,5.7,3.6
CCCCC(CCCCCC)CC1=C(SC(C2=CC=C(/C=C(C#N)\C#N)C3=NSN=C32)=C1)C4=NC(SC(C5=C(C=C(S5)C(C6=NSN=C67)=CC=C7/C=C(C#N)/C#N)CC(CCCCCC)CCCC)=N8)=C8S4,8.77,8.46,15.43,0.632,0.9,1.84,1063.51,5.7,3.86
CCCCC(CCCCCC)CC1=C(SC(C2=CC=C(/C=C3S/C(N(C\3=O)CC)=C(C#N)/C#N)C4=NSN=C42)=C1)C5=NC(SC(C6=C(C=C(S6)C7=CC=C(/C=C8S/C(N(C\8=O)CC)=C(C#N)/C#N)C9=NSN=C79)CC(CCCCCC)CCCC)=N%10)=C%10S5,6.3,6.05,12.75,0.537,0.92,1.7,1317.83,5.5,3.8
CCCCC(CN1C2=C(C3=C1C(SC(/C=C4/C(C5=C(C4=O)C=C(Cl)C(Cl)=C5)=C(C#N)\C#N)=C6CCCCCCCCCCC)=C6S3)C7=NSN=C7C8=C2N(C9=C8SC%10=C9SC(/C=C%11C(C(C=C(Cl)C(Cl)=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%10CCCCCCCCCCC)CC(CCCC)CC)CC,16.5,16.1,25.4,0.75,0.859,1.56,1517.74,5.68,4.12
CCCCC(CN1C2=C(C3=C1C(SC(/C=C4/C(C5=C(C4=O)C=C(F)C(F)=C5)=C(C#N)\C#N)=C6CCCCCCCCCCC)=C6S3)C7=NSN=C7C8=C2N(C9=C8SC%10=C9SC(/C=C%11C(C(C=C(F)C(F)=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%10CCCCCCCCCCC)CC(CCCC)CC)CC,15.6,15.6,24.9,0.753,0.834,1.63,1451.94,5.65,4.02
CCCCC(CN1C2=C(C3=C1C(SC(/C=C4/C(C5=C(C4=O)C=CC=C5)=C(C#N)/C#N)=C6)=C6S3)C7=NN(N=C7C8=C2N(C9=C8SC%10=C9SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%10)CC(CCCC)CC)CC(CCCC)CC)CC,13.42,13.22,22.44,0.691,0.87,1.5,1166.55,5.455,3.95
CCCCC(CN1C2=C(C3=C1C(SC(/C=C4/C(C5=CSC=C5C4=O)=C(C#N)/C#N)=C6)=C6S3)C7=NN(N=C7C8=C2N(C9=C8SC%10=C9SC(/C=C%11C(C%12=CSC=C%12C\%11=C(C#N)\C#N)=O)=C%10)CC(CCCC)CC)CC(CCCC)CC)CC,13.4,13.25,23.56,0.694,0.82,1.39,1178.6,5.43,4.04
