p(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV).1,Mw (kg/mol),Mn(kg/mol),PDI,HOMO_n(eV).1,'-LUMO_n(eV).1
CC(C1=NSN=C12)=C(F)C(F)=C2C3=CC=C(C4=C(C(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)C=C(C5=CC(C(OCC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=C(C6=CC=C(C)S6)S5)S4)S3,3.61,3.61,6.7,0.68,0.8,2.06,86.9,42.8,2.03,5.66,3.6
CC(S1)=C(CC2CCCCC2)C=C1C(C3=NN(CC(CCCCCCCC)CCCCCC)N=C34)=C(F)C(F)=C4C5=CC(CC6CCCCC6)=C(C7=CC8=C(C(C9=CC=C(CC(CC)CCCC)S9)=C%10C=C(SC%10=C8C%11=CC=C(CC(CC)CCCC)S%11)C)S7)S5,11.35,11.18,18.2,0.7,0.89,2.0,175.0,68.6,2.55,5.29,3.29
CC(S1)=C(CC2CCCCC2)C=C1C(C3=NN(CC(CCCCCCCC)CCCCCC)N=C34)=C(F)C(F)=C4C5=CC(CC6CCCCC6)=C(C7=CC8=C(C(C9=CC=C(SCC(CC)CCCC)S9)=C%10C=C(SC%10=C8C%11=CC=C(SCC(CC)CCCC)S%11)C)S7)S5,12.15,11.86,17.61,0.732,0.94,1.97,145.0,56.1,2.59,5.33,3.36
CC(S1)=C(F)C(F)=C1C2=CC=C(C)C3=NC=C(OCC(CCCCCCCC)CCCCCC)N=C23,0.9,0.86,3.11,0.325,0.89,2.76,33.3,20.8,1.6,5.68,2.92
CC(S1)=CC(F)=C1C(S2)=C(F)C=C2C(S3)=CC=C3C(C4=C5N=C(C6=CC=CC(OCC(CC)CCCC)=C6)C(C7=CC(OCC(CC)CCCC)=CC=C7)=N4)=CC8=C5C=C(C9=CC=C(C)S9)C%10=C8N=C(C%11=CC=CC(OCC(CC)CCCC)=C%11)C(C%12=CC(OCC(CC)CCCC)=CC=C%12)=N%10,7.5,7.4,14.3,0.66,0.8,1.9,33.1,17.4,1.9,5.29,3.375
CC(S1)=CC(F)=C1C2=C(F)C=C(C3=C(OCCCCCCCC)C(OCCCCCCCC)=C(C)C4=NON=C43)S2,10.2,9.95,15.11,0.63,1.01,1.72,62.8,31.1,2.02,5.33,3.61
CC(S1)=CC(OCCCCCCCCCCCC)=C1C2=CC(F)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=C5C(C(N(CC(CCCCCC)CCCCCCCC)C5=O)=O)=C(C)S4)S3)C=C2F,10.04,9.76,18.34,0.674,0.812,1.83,38.1,28.9,1.32,5.51,3.68
CC(S1)=CC(OCCCCCCCCCCCC)=C1C2=CC(F)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC=C(C)C(C(N5CC(CCCCCC)CCCCCCCC)=O)C4C5=O)S3)C=C2F,10.65,10.41,17.75,0.701,0.856,2.0,60.5,40.3,1.5,5.44,3.44
CC(S1)=CC=C1C(C2=NN(CC(CC)CCCC)N=C23)=C(F)C(F)=C3C4=CC=C(C5=CC6=C(C(C7=CC(Cl)=C(CC(CC)CCCC)S7)=C8C=C(SC8=C6C9=CC(Cl)=C(CC(CC)CCCC)S9)C)S5)S4,1.33,1.3,7.41,0.363,0.741,1.95,9.6,7.2,1.34,5.43,3.48
CC(S1)=CC=C1C(C2=NN(CC(CCCCCC)CCCC)N=C23)=C(F)C(F)=C3C4=CC=C(S4)C5=CC(OC(CCCCCCCC)(CCCCCCCC)C6=C7SC(C)=C6)=C7S5,8.38,8.05,16.19,0.681,0.76,1.93,56.0,22.4,2.5,5.21,3.28
CC(S1)=CC=C1C(C2=NN(CC(CCCCCC)CCCC)N=C23)=C(F)C(F)=C3C4=CC=C(S4)C5=CC(SC(CCCCCCCC)(CCCCCCCC)C6=C7SC(C)=C6)=C7S5,10.51,10.24,17.15,0.753,0.81,1.97,51.7,23.5,2.2,5.3,3.33
CC(S1)=CC=C1C(C2=NN(CC(CCCCCC)CCCCCCCC)N=C23)=C(F)C(F)=C3C4=CC=C(C5=CC(S6)=C(S5)C7=C6C8=C(C(C9=CC=C(CCCCCC)C=C9)7C%10=CC=C(CCCCCC)C=C%10)C=C%11C(C(C%12=C%11SC%13=C%12SC(C)=C%13)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C8)S4,11.05,10.63,22.44,0.646,0.73,1.62,66.7,23.0,2.9,5.25,3.63
